-050.0,-050.0,-050.0;1.0,0.0,0.0,0.0
+050.0,-050.0,-050.0;1.0,0.0,0.0,0.0
+050.0,-050.0,-050.0;1.0,0.0,0.0,0.0
+050.0,+050.0,-050.0;1.0,0.0,0.0,0.0
+050.0,+050.0,-050.0;1.0,0.0,0.0,0.0
-050.0,+050.0,-050.0;1.0,0.0,0.0,0.0
-050.0,+050.0,-050.0;1.0,0.0,0.0,0.0
-050.0,-050.0,-050.0;1.0,0.0,0.0,0.0

-050.0,-050.0,+050.0;0.0,1.0,0.0,0.0
+050.0,-050.0,+050.0;0.0,1.0,0.0,0.0
+050.0,-050.0,+050.0;0.0,1.0,0.0,0.0
+050.0,+050.0,+050.0;0.0,1.0,0.0,0.0
+050.0,+050.0,+050.0;0.0,1.0,0.0,0.0
-050.0,+050.0,+050.0;0.0,1.0,0.0,0.0
-050.0,+050.0,+050.0;0.0,1.0,0.0,0.0
-050.0,-050.0,+050.0;0.0,1.0,0.0,0.0

-050.0,-050.0,-050.0;1.0,0.0,0.0,0.0
-050.0,-050.0,+050.0;0.0,1.0,0.0,0.0
+050.0,-050.0,-050.0;1.0,0.0,0.0,0.0
+050.0,-050.0,+050.0;0.0,1.0,0.0,0.0
+050.0,+050.0,-050.0;1.0,0.0,0.0,0.0
+050.0,+050.0,+050.0;0.0,1.0,0.0,0.0
-050.0,+050.0,-050.0;1.0,0.0,0.0,0.0
-050.0,+050.0,+050.0;0.0,1.0,0.0,0.0
